id;curso;email;nome;numeroAluno;numeroContato
2;;;a21502968;a21502968;0
3;;;a21600327;a21600327;0
4;;;a21700075;a21700075;0
5;;;a21502579;a21502579;0
6;;;a20086749;a20086749;0
7;;;a20084026;a20084026;0
8;;;a21600107;a21600107;0
9;;;a21603397;a21603397;0
10;;;a21501704;a21501704;0
11;;;a21604585;a21604585;0
12;;;a21502840;a21502840;0
13;;;a21603271;a21603271;0
14;;;a21602905;a21602905;0
15;;;a21601155;a21601155;0
16;;;a21503536;a21503536;0
17;;;a21605102;a21605102;0
18;;;a21500924;a21500924;0
19;LEI;;a21705197;a21705197;0
20;;;a21303777;a21303777;0
21;;;a21800463;a21800463;0
22;;;a21804390;a21804390;0
23;;;a21109010;a21109010;0
24;;;a21701319;a21701319;0
25;;;a21702442;a21702442;0
26;;;a21603264;a21603264;0
27;;;a21603256;a21603256;0
28;LEI;;a21201528;a21201528;0
29;LEI;;a21502034;a21502034;0
30;;;a21505448;a21505448;0
31;;;a21603520;a21603520;0
32;;;a21800835;a21800835;0
33;;;a21507835;a21507835;0
34;;;a21500221;a21500221;0
35;LEI;;a21801171;a21801171;0
36;;;a21604322;a21604322;0
37;;;a21100171;a21100171;0
38;;;a21704648;a21704648;0
39;LEI;;a21702361;a21702361;0
40;;;a21304351;a21304351;0
41;LEI;;a21705201;a21705201;0
42;;;a21700924;a21700924;0
43;;;a21701242;a21701242;0
44;;;a21503087;a21503087;0
45;;;a21707184;a21707184;0
46;;;a21800059;a21800059;0
47;;;a21404687;a21404687;0
48;LEI;;a21504084;a21504084;0
49;;;a21701940;a21701940;0
50;LIG;;a21603860;a21603860;0
51;;;a20062988;a20062988;0
52;;;a21603311;a21603311;0
53;;;a21603186;a21603186;0
54;;;a21503134;a21503134;0
55;;;a21703934;a21703934;0
56;;;a21803410;a21803410;0
57;LEI;;a21006894;a21006894;0
58;;;a21502583;a21502583;0
59;;;a21705008;a21705008;0
60;;;a21503083;a21503083;0
61;LEI;;a21604600;a21604600;0
62;;;a21600697;a21600697;0
63;;;a21402657;a21402657;0
64;;;a21602466;a21602466;0
65;;;a21603833;a21603833;0
66;;;a21603767;a21603767;0
67;;;a21208100;a21208100;0
68;LIG;;a21403164;a21403164;0
69;;;a21504770;a21504770;0
70;;;a21604266;a21604266;0
71;;;a21605039;a21605039;0
72;;;a21801071;a21801071;0
73;;;a21805213;a21805213;0
74;LEI;;a21703819;a21703819;0
75;LEI;;a21700965;a21700965;0
76;LEI;;a21702249;a21702249;0
77;LEI;;a21600880;a21600880;0
78;LEI;;a21703957;a21703957;0
79;LEI;;a21703942;a21703942;0
80;LEI;;a21702270;a21702270;0
81;LEI;;a21705317;a21705317;0
82;LEI;;a21705328;a21705328;0
83;LEI;;a21703091;a21703091;0
84;LEI;;a21702113;a21702113;0
85;LEI;;a21704137;a21704137;0
86;LEI;;a21703353;a21703353;0
87;LEI;;a21703952;a21703952;0
88;LEI;;a21702626;a21702626;0
89;LEI;;a21702482;a21702482;0
90;LEI;;a21705375;a21705375;0
91;LEI;;a21705400;a21705400;0
92;LEI;;a21703349;a21703349;0
