"id";"cursoAssociado";"nome"
1;1;Anâlise e Conceção de Sistemas
2;1;Arquitetura de Computadores
3;1;Arquitetura de Sistemas Empresariais
4;1;Bases de Dados
5;1;Engenharia de Software
6;1;Fundamentos de Programação
7;1;Inteligência Artificial
8;1;Interação Humano-Mâquina
9;1;Linguagens de Programação I
10;1;Linguagens de Programação II
11;1;Matemâtica I
12;1;Matemâtica II
13;1;Redes de Computadores
14;1;Ciência de Dados
15;1;Sistemas de Suporte à Decisão
16;1;Sistemas Operativos
17;2;Ílgebra Linear
18;2;Algoritmia e Estruturas de Dados
19;2;Arquiteturas Avançadas de Computadores
20;2;Competências Comportamentais
21;2;Compiladores
22;2;Computação Distribuída
23;2;Computação Grâfica
24;2;Computação Móvel
25;2;Fundamentos de Física
26;2;Matemâtica Discreta
27;2;Programação Web
28;2;Segurança Informâtica
29;2;Sinais e Sistemas
30;2;Sistemas Digitais
31;3;Auditoria de Sistemas de Informação
32;3;Câlculo Financeiro
33;3;Contabilidade
34;3;Controlo de Gestão
35;3;Data Mining
36;3;Ética SocioProfissional
37;3;Fundamentos de Sistemas de Informação
38;3;Gestão Financeira
39;3;Instrumentos de Gestão
40;3;Investigação Operacional
41;3;Métricas Empresariais
42;3;Motivação e Liderança
43;3;Sistemas Móveis Empresariais
44;3;Teoria e Prâtica de Marketing
45;1;Engenharia de Requisitos e Testes
46;1;Sistemas de Infomrção na Núvem
