"id";"Titulo";"anoLetivo";"avaliacaoProposta";"coorientador";"dataEstado";"dataProposta";"descricao";"entidade";"estado";"idGrupo";"idtfc";"motivoRecusa";"numeroInscricoes";"orientador";"orientadorProposto";"preponente";"semestre";"tecnologias"
1;Plataforma DEISI - Gestão de TFCs;"2018";;;"2022-10-07";"2022-10-07";"Continuar o trabalho jâ desenvolvido na plataforma de gestão de TFCs para incluir novas funcionalidades: upload dos relatórios e outros artefactos; agendamento das apresentações intermédias e finais; registo das avaliações intermédias e finais; notificações; etc. A aplicação foi desenvolvida em Java usando a framework Spring. O objectivo é integrar as novas funcionalidades jâ no próximo semestre. Este trabalho é para ser desenvolvido por um aluno.";;Atribuido;;DEISI1;;0;p4997;;p4997;0;
5;Content-Based Music Information Retrieval;"2018";;;"2022-10-07";"2022-10-07";Apresentar uma solução algorítmica e metodológica para problemas de recuperação de informação musical baseada em conteúdo, e outras sugestões (por exemplo, notação musical e representação simbólica) e/ ou espectro de especificidade de similaridade de âudio.;1;Indisponivel;;DEISI5;;0;p3478;;p3478;0;
6;Serious Game;"2018";;;"2022-10-07";"2022-10-07";Pretende-se explorar a conceção e desenvolvimento de jogos sérios para a aprendizagem ao longo da vida, formação profissional ou em contexto das redes colaborativas.;2;Indisponivel;;DEISI6;;0;p3478;;p3478;0;
7;Gaming out of Depression;"2018";;;"2022-10-07";"2022-10-07";Gaming out of Depression é uma comunidade destinada a ajudar pessoas com vârias formas de depressão com um interesse em comum: video-jogos. O objetivo é desenvolver uma plataforma que permita que os membros façam login e encontrem facilmente outros que possam jogar, bem como membros com os quais eles possam conversar. Não existe atualmente qualquer software no mercado que atenda às necessidades de pessoas que sofrem de vârias formas de depressão.;2;Atribuido;;DEISI7;;0;p3478;;p3478;0;
8;Plataforma com incentivos e prémios;"2018";;;"2022-10-07";"2022-10-07";Modelos de redes de negócios de colaboração e marketing, em redes ativas com incentivos e prémios.;3;Atribuido;;DEISI8;;0;p3478;;p3478;0;
9;Plataforma de LMS/LCMS;"2018";;;"2022-10-07";"2022-10-07";Plataforma de LMS/LCMS, com eventuais novas funcionalidades que podem passar pela aplicação e desenvolvimento de modelos de negócio eBusiness/ eCommerce, tecnologias de eLearning aplicadas: SCORM, Badges, etc.;2;Indisponivel;;DEISI9;;0;p3478;;p3478;0;
10;Context-aware recommender systems in collaborative network of organizations;"2018";;;"2022-10-07";"2022-10-07";"Desenvolver as funcionalidades necessârias para pesquisar informações em Redes Colaborativas de Organizações. Os recursos incluem gestão de ontologia, anotação semântica automâtica, indexação de documentos e pesquisa semântica baseada em contexto. Ferramentas existentes serão usadas para a implementação da perspectiva semântica; criando novos métodos, estratégias, APIs, modelos e anâlise dos processos sociotécnicos de colaboração.";1;Indisponivel;;DEISI10;;0;p3478;;p3478;0;
11;App de farmâcia com apoio de especialista;"2018";;;"2022-10-07";"2022-10-07";desenvolvimento de aplicação web de farmâcia pessoal com funcionalidade de contacto a especialistas;;Atribuido;;DEISI11;;0;p3478;;p3478;0;
12;Rede colaborativa inter-organizacional de agricultura biológica;"2018";;;"2022-10-07";"2022-10-07";Ajudar os agentes a atingir massa crítica e económica de escala, mas também a abranger mercados maiores e mais diversificados, através de redes colaborativas de organizações pretende-se criar redes fortes e motivar a inovação, aplicado na articulação de uma rede de atores de agricultura biológica;4;Atribuido;;DEISI12;;0;p3478;;p3478;0;
13;Portal Empresarial;"2018";;;"2022-10-07";"2022-10-07";"Plataforma digital onde desenvolve-se um conjunto de ferramentas que permitam gerir projetos em diversos mercados internacionais, gerir projetos de empreendedores e divulgar o próprio projeto, junto de empresas, empreendedores e investidores, e outros stakeholders. Plataforma de inscrições e gestão de participantes em mercados e projetos, com um conjunto de interfaces que permitam a inscrição de empresas, mas também a de potenciais empreendedores que pretendam recorrer aos serviços do projeto.
";4;Atribuido;;DEISI13;;0;p3478;;p3478;0;
14;Blockchain Incubation As a Service;"2018";;;"2022-10-07";"2022-10-07";Blockchain Incubation As a Service (IAAS) - Use our AI Center for your work Industry Solutions (e.g. letter of credit, loyalty management, energy trading etc.). Initial Coin Offer Solutions.;1;Indisponivel;;DEISI14;;0;p3478;;p3478;0;
15;Multilingual chatbots;"2018";;;"2022-10-07";"2022-10-07";"Multi-Languages Bots (NLP) Chatbots by using Google Dialog Flow, Microsoft Azure, IBM Platforms.
Order bot (Automated your Order process), HR Bot, Banking Bot, Help Desk Bot.";1;Indisponivel;;DEISI15;;0;p3478;;p3478;0;
16;Deep Learning;"2018";;;"2022-10-07";"2022-10-07";Bring AI to your Business. Make your Processes Smarter. Major Industry platforms for Deep learning including IBM Watson, Microsoft Azure, Google.ai & Open Source...;1;Indisponivel;;DEISI16;;0;p3478;;p3478;0;
17;Plataforma Gestão de Requisitos;"2018";;;"2022-10-07";"2022-10-07";"Pretende-se desenvolver uma aplicação de gestão de ciclo de vida de requisitos utilizando abordagens SCRUM e AGSI-Arquitectura da Gestão de Sistemas de Informação e descrição de requisitos em template a fornecer por orientador
Trabalho enquadra-se em projecto mais amplo, visando a integração com ferramentas de gestão de projecto (e.g.: VSTS, MS-Project, projectlibre, etc.) e de controlo de versões (e.g.: git) 
Disciplinas listadas não são de obrigatoriedade cumulativa";;Atribuido;;DEISI17;;0;p2703;;p2703;0;
