"id";"idNumeroDisciplina";"numeroTFC"
1;1;1
2;4;1
3;10;1
4;27;1
5;1;2
6;3;2
7;3;3
8;3;4
9;37;4
10;6;5
11;6;6
12;6;7
13;6;8
14;6;9
15;6;10
16;6;11
17;6;12
18;6;13
19;6;14
20;6;15
21;6;16
22;1;17
23;5;17
24;18;17
25;37;17
26;40;17
27;41;17
28;1;18
29;4;18
30;5;18
31;8;18
32;10;18
33;4;19
34;10;19
35;24;19
36;43;19
37;1;20
38;3;20
39;37;20
40;41;20
41;44;20
42;4;21
43;5;21
44;37;21
45;39;21
46;41;21
48;8;22
49;14;22
50;27;22
51;18;22
52;18;23
53;19;23
54;20;23
55;22;23
56;24;23
57;27;23
58;28;23
59;3;24
60;4;24
61;6;24
62;7;24
63;8;24
64;9;24
65;10;24
66;2;25
67;4;25
68;5;25
69;6;25
70;7;25
71;8;25
72;9;25
73;10;25
74;1;26
75;4;26
76;6;26
77;9;26
78;10;26
79;13;26
80;18;26
81;22;26
82;27;26
83;28;26
84;4;27
85;8;27
86;14;27
87;18;27
88;27;27
89;1;28
90;4;28
91;5;28
92;8;28
93;10;28
94;27;29
95;28;29
96;30;29
97;2;30
98;4;30
99;19;30
100;30;30
101;4;31
102;8;31
103;10;31
104;24;31
105;27;31
106;43;31
107;4;32
108;5;32
109;8;32
110;10;32
111;27;32
112;1;34
113;3;34
114;5;34
115;6;34
116;31;34
117;37;34
118;41;34
119;43;34
120;44;34
121;19;35
122;2;37
123;4;37
124;2;38
125;4;38
126;3;39
127;3;40
128;3;41
129;14;42
130;9;46
131;10;46
132;16;46
133;18;46
134;21;46
137;5;45
138;8;45
139;18;44
140;35;44
141;1;36
142;4;36
143;27;36
144;7;43
145;18;43
146;35;43
149;8;33
150;14;33
151;27;33
152;1;47
153;4;47
154;5;47
155;10;47
156;15;47
157;27;47
158;43;47
159;4;48
160;5;48
161;13;48
162;16;48
163;23;48
164;4;49
165;5;49
166;10;49
167;27;49
168;1;50
169;3;50
170;4;50
171;5;50
172;6;50
173;9;50
174;10;50
175;24;50
176;27;50
177;28;50
178;43;50
179;1;51
180;2;51
181;3;51
182;4;51
183;5;51
184;6;51
185;9;51
186;10;51
187;18;51
188;24;51
189;27;51
190;28;51
191;43;51
214;14;56
215;24;56
216;27;56
217;7;57
218;10;57
219;23;57
224;4;59
225;5;59
226;10;59
227;15;59
228;1;60
229;4;60
230;5;60
231;10;60
232;4;61
233;10;61
234;39;61
235;41;61
236;4;62
237;7;62
238;10;62
239;12;62
240;14;62
241;25;62
242;4;63
243;27;63
244;28;63
245;31;64
246;42;64
247;44;64
253;27;66
254;4;67
255;7;67
256;18;67
257;24;67
258;27;67
259;4;68
260;5;68
261;10;68
262;27;68
263;1;69
264;4;69
265;5;69
266;6;69
267;8;69
268;13;69
269;15;69
270;18;69
271;22;69
272;24;69
273;28;69
274;13;70
275;16;70
276;19;70
277;28;70
278;22;71
279;1;72
280;3;72
281;4;72
282;5;72
283;6;72
284;8;72
285;9;72
286;10;72
287;13;72
288;15;72
289;18;72
290;24;72
291;28;72
292;7;73
293;14;73
294;10;74
295;13;74
296;16;74
297;27;74
298;1;75
299;3;75
300;4;75
301;5;75
302;8;75
303;15;75
304;4;76
305;5;76
306;24;76
307;27;76
308;1;77
309;4;77
310;37;77
311;40;77
312;41;77
313;44;77
319;1;79
320;5;79
321;8;79
322;24;79
323;27;79
324;28;79
325;27;80
326;1;81
327;10;82
328;13;82
329;16;82
330;27;82
331;1;83
332;4;83
333;5;83
334;6;83
335;9;83
336;10;83
337;18;83
338;27;83
339;1;84
340;4;84
341;5;84
342;10;84
343;4;85
344;8;85
345;2;86
346;19;86
347;24;86
348;27;86
349;28;86
350;30;86
351;1;87
352;4;87
353;5;87
354;6;87
355;27;87
356;18;88
357;27;88
358;6;89
359;8;89
360;10;89
361;13;89
362;24;89
363;27;89
364;43;89
365;1;90
366;3;90
367;4;90
368;5;90
369;6;90
370;8;90
371;9;90
372;10;90
373;1;91
374;3;91
375;4;91
376;5;91
377;6;91
378;7;91
379;8;91
380;9;91
381;10;91
382;24;91
383;27;91
384;43;91
385;1;92
386;3;92
387;4;92
388;5;92
389;6;92
390;8;92
391;9;92
392;10;92
393;27;92
394;44;92
395;1;93
396;2;93
397;3;93
398;4;93
