"id";"coordenador";"idIdentificacao";"tipoUtilizador"
1;1;p4997;ProfessorDEISI
2;0;p3478;ProfessorDEISI
3;1;p2703;ProfessorDEISI
4;0;p5404;ProfessorDEISI
5;0;p3025;ProfessorDEISI
6;0;p2;ProfessorDEISI
7;1;p3113;ProfessorDEISI
8;0;p5265;ProfessorDEISI
9;0;p4453;ProfessorDEISI
10;0;p5403;ProfessorDEISI
11;0;p4855;ProfessorDEISI
12;0;p681;ProfessorDEISI
13;0;p4671;ProfessorDEISI
14;0;p1059;ProfessorDEISI
15;0;p5354;ProfessorDEISI
16;0;a111;Aluno
17;0;"1";Empresa
18;0;"2";Empresa
19;0;"3";Empresa
20;0;"4";Empresa
21;0;a21502968;Aluno
22;0;a21600327;Aluno
23;0;"5";Empresa
24;0;a21700075;Aluno
25;0;a21502579;Aluno
26;0;a20086749;Aluno
30;0;a20084026;Aluno
31;0;a21600107;Aluno
32;0;a21603397;Aluno
33;0;a21501704;Aluno
34;0;a21604585;Aluno
36;0;"10";Empresa
37;0;"11";Empresa
38;0;a21502840;Aluno
39;0;"12";Empresa
40;0;a21603271;Aluno
41;0;a21602905;Aluno
42;0;a21601155;Aluno
43;0;a21503536;Aluno
44;0;a21605102;Aluno
45;0;p4036;ProfessorDEISI
46;0;a21500924;Aluno
47;0;a21705197;Aluno
48;0;a21303777;Aluno
49;0;a21800463;Aluno
50;0;p5502;ProfessorDEISI
51;0;a21804390;Aluno
52;0;a21109010;Aluno
53;0;a21701319;Aluno
54;0;p5290;ProfessorDEISI
55;0;a21702442;Aluno
56;0;emp13;EmpEnt
57;0;"14";Empresa
58;0;pnd1;ProfessorNDEISI
59;0;"15";Empresa
60;0;"16";Empresa
61;0;pnd2;ProfessorNDEISI
62;0;a21603264;Aluno
63;0;a21603256;Aluno
64;0;pnd3;ProfessorNDEISI
65;0;"17";Empresa
66;0;a21201528;Aluno
67;0;a21502034;Aluno
68;0;a21505448;Aluno
69;0;a21603520;Aluno
70;0;a21800835;Aluno
71;0;a21507835;Aluno
72;0;a21500221;Aluno
73;0;a21801171;Aluno
74;0;a21604322;Aluno
75;0;a21100171;Aluno
76;0;a21704648;Aluno
77;0;a21702361;Aluno
81;0;a21304351;Aluno
82;0;a21705201;Aluno
83;0;a21700924;Aluno
84;0;"21";Empresa
85;0;a21701242;Aluno
86;0;a21503087;Aluno
87;0;a21707184;Aluno
88;0;a21800059;Aluno
89;0;a21404687;Aluno
90;0;"22";Empresa
91;0;a21504084;Aluno
92;0;a21701940;Aluno
93;0;a21603860;Aluno
94;0;a20062988;Aluno
95;0;a21603311;Aluno
96;0;a21603186;Aluno
97;0;a21503134;Aluno
102;0;a21703934;Aluno
103;0;"27";Empresa
104;0;a21803410;Aluno
105;0;a21006894;Aluno
106;0;a21502583;Aluno
107;0;a21705008;Aluno
109;0;a21503083;Aluno
110;0;a21604600;Aluno
111;0;a21600697;Aluno
112;0;a21402657;Aluno
114;0;emp30;EmpEnt
115;0;a21602466;Aluno
116;0;a21603833;Aluno
117;0;a21603767;Aluno
118;0;a21208100;Aluno
119;0;a21403164;Aluno
120;0;a21504770;Aluno
121;0;a21604266;Aluno
122;0;a21605039;Aluno
123;0;a21801071;Aluno
