"id";"confirmaAluno1";"confirmaAluno2";"idNumeroAluno1";"idNumeroAluno2"
1;1;0;a21502579;a21603271
2;1;0;a21600107;a21600327
3;1;0;a21500221;a21403164
4;1;0;a21500221;a21403164
5;1;0;a21701319;a21701242
6;1;0;a21701242;a21701319
7;1;0;a21704648;a21604322
8;1;0;a21604322;a21704648
9;1;0;a21505448;a21800059
10;1;0;a21700075;a21801071
11;1;0;a21603311;a21503134
12;1;0;a21603520;a21603186
13;1;0;a21803410;a21702442
14;1;0;a21700924;a21703934
15;1;0;a21702442;a21803410
16;1;0;a21503083;a21705008
17;1;0;a21507835;a21504770
18;1;0;a21501704;a21208100
19;1;0;a21501704;a21208100
20;1;0;a21603256;a21603264
21;1;0;a21600697;aHugo
22;1;0;a21800835;a21604585
23;1;0;a21603397;a21503087
24;1;0;a21502583;a21502583
25;1;0;a21502034;a21605039
26;1;0;a21603767;a21604266
27;1;0;a21603767;a21602466
28;1;0;a21502583;a21603595
29;1;0;a21700965;a21703942
30;1;0;a21703012;a21705317
31;1;0;a21704137;a21702249
32;1;0;a21703349;a21702626
33;1;0;a21702113;a21704574
34;1;0;a21701443;a21705400
35;1;0;a21703806;a21701497
36;1;0;a21703913;a21701451
37;1;0;a21700396;a21705367
38;1;0;a21600880;a21702363
39;1;0;a21701870;a21702996
40;1;0;a21703952;a21703353
41;1;0;a21703920;a21705375
42;1;0;a21603860;a21504084
43;1;0;a21703860;a21703860
44;1;0;a21701870;a21702996
45;1;0;a21705309;a21705312
46;1;0;a21705846;a21700555
47;1;0;a21703906;a21704097
48;1;0;a21702801;a21703872
49;1;0;a21703974;a21705399
50;1;0;a21803259;a21803634
51;1;0;a21700874;a21802287
52;1;0;a21901796;a21807061
53;1;0;a21700054;a21705067
54;1;0;a21801685;a21805820
55;1;0;a21805485;a21805468
56;1;0;a21702996;"21701870"
57;1;0;a21803499;a21803731
58;1;0;a21901521;a21906634
59;1;0;a21805213;a21803430
60;1;0;a21600767;a21604285
61;1;0;a21902703;a21803655
62;1;0;a21802381;a21801945
63;1;0;a21806225;a21803823
64;1;0;a21803387;a21904253
65;1;0;a21703781;a21701951
66;1;0;a21904353;a21901470
67;1;0;a21703860;a21804816
68;1;0;a22002703;a21903611
69;1;0;a22004316;a21904341
70;1;0;a21902813;a21904825
71;1;0;a21902813;a21904553
72;1;0;a21904825;a21904553
73;1;0;a21805522;a21802411
74;1;0;a21903016;a21906948
75;1;0;a21904553;a21904536
76;1;0;a20076288;a21900295
77;1;0;a21902803;a21903149
78;1;0;a21702354;a21703345
79;1;0;a21903361;a21904445
80;1;0;a22006692;a21905131
81;1;0;a21901256;a21907715
82;1;0;a21901216;a21902946
83;1;0;a21905157;a22002611
84;1;0;a20060775;A20063253
85;1;0;a22008013;a21905954
86;1;0;a20076288;a21900295
87;1;0;a22007545;a21902660
88;1;0;a21905985;a21905643
89;1;0;a22006933;a21902319
90;1;0;a21800463;a21806180
91;1;0;a22001628;a22003218
92;1;0;a22002629;a22001757
93;1;0;a22004278;a22103439
94;1;0;a22003736;a22007457
95;1;0;a22003266;a22003407
96;1;0;a21706025;a21801093
97;1;0;a22001936;a22006023
98;1;0;a22000492;a22202497
99;1;0;a22001972;a22001810
100;1;0;a22104464;a22002069
101;1;0;a22005407;a22003179
102;1;0;a22007237;a22007578
103;1;0;a22005813;a22006526
104;1;0;a22001658;a22007519
105;1;0;a22001972;a22000019
106;1;0;a22102554;a22103941
107;1;0;a22104010;a22106935
108;1;0;a22004314;a21904220
109;1;0;a22002160;a22006182
110;1;0;a22003183;a22003298
111;1;0;a22007060;a22102750
112;1;0;a22001658;a22007159
113;1;0;a22007560;a22109220
114;1;0;a21503845;a21700223
115;1;0;a20064431;a22005094
116;1;0;a22004314;a21904220
117;1;0;a21804766;a22103831
118;1;0;a21006894;a21905158
119;1;0;a22007560;a22109220
120;1;0;a22106688;a22205245
121;1;0;a22002469;a22004525
