id;estado;idNumeroGrupo;idTFC;numeroAluno;ordemEscolha;registoDeInscricao;publicado;anoLetivo
1;Não Atribuido;;DEISI1;a21502968;2;2018-10-09 19:57:06.000;;2018
2;Atribuido;;DEISI7;a21502968;1;2018-10-09 20:09:51.000;;2018
3;Não Atribuido;;DEISI15;a21502968;3;2018-10-10 19:03:17.000;;2018
4;Atribuido;;Aluno23;a20086749;1;2018-10-12 08:39:38.000;;2018
5;Atribuido;;Aluno26;a21502840;1;2018-10-14 12:15:03.000;;2018
6;Atribuido;;G27;a21502579;1;2018-10-16 15:47:58.000;;2018
7;Atribuido;;DEISI28;a21605102;1;2018-10-16 23:17:12.000;;2018
8;Anulado;;DEISI3;a21503536;1;2018-10-17 08:46:32.000;;2018
9;Não Atribuido;;DEISI2;a21503536;2;2018-10-17 08:46:42.000;;2018
10;Não Atribuido;;DEISI4;a21503536;3;2018-10-17 08:46:52.000;;2018
12;Atribuido;;Aluno27;a21502579;1;2018-10-17 08:00:00.000;;2018
13;Atribuido;2;DEISI30;;1;2019-02-10 20:11:12.000;;2019
14;Não Atribuido;;DEISI30;a21109010;2;2019-02-15 11:56:57.000;;2019
15;Não Atribuido;;DEISI19;a21109010;3;2019-02-15 12:05:38.000;;2019
16;Atribuido;;DEISI35;a21109010;1;2019-02-18 11:40:38.000;;2019
17;Atribuido;4;DEISI29;;1;2019-02-28 12:04:36.000;;2019
19;;4;DEISI34;;3;2019-02-27 21:00:04.000;;2019
20;Não Atribuido;;DEISI21;a21100171;1;2019-02-27 23:43:13.000;;2019
21;Atribuido;;DEISI37;a21100171;2;2019-02-27 23:57:04.000;;2019
22;Não Atribuido;;DEISI40;a21100171;3;2019-02-27 23:57:15.000;;2019
23;Atribuido;;DEISI31;X21801171;1;2019-02-28 00:03:04.000;;2019
24;Não Atribuido;;DEISI25;a21801171;2;2019-02-28 00:03:51.000;;2019
25;Não Atribuido;;DEISI30;a21801171;3;2019-02-28 00:04:10.000;;2019
26;Atribuido;;DEISI34;a21602905;1;2019-02-28 14:54:57.000;;2019
28;Atribuido;5;Empresa33;;1;2019-03-01 22:54:04.000;;2019
29;Não Atribuido;6;Empresa33;;1;2019-03-04 19:01:15.000;;2019
30;Não Atribuido;6;DEISI32;;2;2019-03-04 19:01:42.000;;2019
31;Não Atribuido;6;DEISI31;;3;2019-03-04 19:01:59.000;;2019
32;;7;DEISI32;;1;2019-03-04 19:07:36.000;;2019
33;Atribuido;7;DEISI1;;2;2019-03-04 19:08:24.000;;2019
34;Não atribuido;7;DEISI31;;3;2019-03-04 19:09:41.000;;2019
35;;8;DEISI32;;1;2019-03-04 19:19:04.000;;2019
36;Não Atribuido;8;DEISI1;;2;2019-03-04 19:20:20.000;;2019
37;Não atribuido;8;DEISI31;;3;2019-03-04 19:20:52.000;;2019
38;Atribuido;9;DEISI13;;1;2019-03-05 15:20:00.000;;2019
39;Atribuido;;Aluno47;a21601155;1;2019-03-05 21:11:42.000;;2019
40;Não Atribuido;;DEISI12;a21404687;1;2019-03-06 10:51:47.000;;2019
41;Atribuido;;DEISI8;a21404687;2;2019-03-06 10:52:27.000;;2019
42;Não Atribuido;;DEISI1;a21404687;3;2019-03-06 10:52:41.000;;2019
43;Não Atribuido;;DEISI32;a21404687;4;2019-03-06 10:52:54.000;;2019
44;Não Atribuido;;DEISI24;a21602905;2;2019-03-06 11:08:26.000;;2019
45;Não Atribuido;;DEISI11;a21504084;1;2019-03-06 16:56:00.000;;2019
46;Atribuido;;DEISI25;a20084026;1;2019-03-06 18:07:32.000;;2019
47;Não Atribuido;;DEISI19;a20084026;2;2019-03-06 18:07:40.000;;2019
48;Não Atribuido;;DEISI42;a20084026;3;2019-03-06 18:07:47.000;;2019
49;Atribuido;;DEISI17;X21603860;1;2019-03-07 11:38:01.000;;2019
50;Não Atribuido;;DEISI18;X21603860;3;2019-03-07 11:40:41.000;;2019
51;Não Atribuido;;DEISI42;X21603860;2;2019-03-07 11:46:58.000;;2019
52;Não Atribuido;;NDEISI44;X21603860;4;2019-03-07 11:50:52.000;;2019
53;Atribuido;11;DEISI50;;1;2019-03-07 17:15:44.000;;2019
54;Atribuido;12;DEISI51;;1;2019-03-07 17:22:40.000;;2019
55;Atribuido;;DEISI39;a20062988;1;2019-03-08 00:16:24.000;;2019
56;Não Atribuido;;DEISI40;a20062988;2;2019-03-08 00:18:25.000;;2019
57;Não Atribuido;;DEISI18;a20062988;3;2019-03-08 00:19:33.000;;2019
58;Atribuido;13;NDEISI36;;1;2019-03-08 11:33:20.000;;2019
59;Não Atribuido;15;NDEISI36;;1;2019-03-08 14:53:00.000;;2019
60;Não Atribuido;15;DEISI56;;2;2019-03-08 14:53:51.000;;2019
61;Não Atribuido;15;DEISI24;;3;2019-03-08 14:54:22.000;;2019
62;Não Atribuido;13;DEISI56;;2;2019-03-08 15:43:22.000;;2019
63;Não Atribuido;;DEISI24;a21803410;3;2019-03-08 15:44:35.000;;2019
64;Não Atribuido;16;DEISI9;;1;2019-03-08 22:39:56.000;;2019
65;;17;DEISI37;;3;2019-03-08 23:37:50.000;;2019
66;Atribuido;17;DEISI41;;4;2019-03-08 23:40:31.000;;2019
67;Atribuido;19;DEISI20;;2;2019-03-08 23:48:44.000;;2019
68;Não Atribuido;19;DEISI37;;3;2019-03-08 23:49:16.000;;2019
70;Não Atribuido;16;DEISI15;;2;2019-03-09 11:54:57.000;;2019
71;Não Atribuido;16;DEISI16;;3;2019-03-09 11:55:51.000;;2019
72;Não Atribuido;16;DEISI6;;4;2019-03-09 11:56:42.000;;2019
73;Atribuido;16;DEISI14;;5;2019-03-09 11:57:56.000;;2019
77;;9;DEISI42;;2;2019-03-09 14:56:20.000;;2019
78;Não Atribuido;;NDEISI45;a21604600;1;2019-03-09 23:37:24.000;;2019
79;Atribuido;23;DEISI66;;1;2019-03-11 10:50:11.000;;2019
80;Não Atribuido;;G57;a21700924;1;2019-03-11 14:16:06.000;;2019
81;Não Atribuido;;G67;a21800835;1;2019-03-11 14:51:09.000;;2019
82;Anulado;;DEISI19;a21006894;1;2019-03-12 09:10:57.000;;2019
83;Não Atribuido;;DEISI24;a21006894;2;2019-03-12 09:11:24.000;;2019
84;Não Atribuido;;DEISI18;a21006894;3;2019-03-12 09:11:50.000;;2019
85;Atribuido;;DEISI24;a21503536;4;2019-03-12 12:42:16.000;;2019
88;Atribuido;21;DEISI12;;1;2019-03-13 19:21:18.000;;2019
89;Não Atribuido;21;DEISI16;;2;2019-03-13 19:23:15.000;;2019
90;Não Atribuido;21;DEISI5;;3;2019-03-13 19:23:50.000;;2019
91;Atribuido;25;DEISI21;;1;2019-03-14 16:44:53.000;;2019
92;Não Atribuido;25;DEISI18;;2;2019-03-14 16:46:23.000;;2019
93;Não Atribuido;25;DEISI24;;3;2019-03-14 16:47:43.000;;2019
94;Não Atribuido;25;NDEISI43;;4;2019-03-14 16:48:48.000;;2019
95;Não Atribuido;25;NDEISI44;;5;2019-03-14 16:49:29.000;;2019
96;Atribuido;;DEISI70;a21701940;1;2019-03-14 18:48:58.000;;2019
97;Não Atribuido;;DEISI16;a21701940;2;2019-03-14 18:49:11.000;;2019
98;Não Atribuido;;NDEISI44;a21701940;3;2019-03-14 18:49:19.000;;2019
99;Atribuido;10;Empresa68;;1;2019-03-18 11:47:08.000;;2019
100;Atribuido;26;NDEISI43;;1;2019-03-19 19:35:39.000;;2019
101;Não Atribuido;26;NDEISI44;;2;2019-03-19 19:36:08.000;;2019
102;Não Atribuido;26;DEISI6;;3;2019-03-19 19:47:00.000;;2019
103;Não Atribuido;27;DEISI5;;4;2019-03-19 19:50:50.000;;2019
104;Atribuido;;G72;a21502583;1;2019-03-25 16:21:50.000;;2019
105;Atribuido;20;DEISI73;;1;2019-03-26 13:58:05.000;;2019
106;;;DEISI24;a21500221;2;2019-04-03 07:33:49.000;;2019
107;Atribuido;;Aluno63;a21604600;2;2019-04-06 11:50:30.000;;2019
108;Atribuido;24;Aluno72;;1;2019-04-09 22:58:17.000;;2019
110;Atribuido;22;Aluno67;;1;2019-04-18 11:17:51.000;;2019
111;Atribuido;22;Aluno67;;1;2019-04-18 11:41:41.000;;2019
112;Atribuido;14;Aluno57;;1;2019-04-18 11:54:59.000;;2019
116;;29;DEISI76;;3;2019-10-08 10:20:45.000;1;2019
117;;29;DEISI79;;5;2019-10-15 21:52:16.000;1;2019
120;Atribuido;29;DEISI83;;1;2019-10-05 17:33:14.000;1;2019
122;Atribuido;;Aluno87;a21703957;1;2019-10-07 17:15:26.000;1;2019
123;Atribuido;;Aluno88;a21705201;1;2019-10-07 17:15:43.000;1;2019
125;;29;DEISI86;;2;2019-10-08 10:20:36.000;1;2019
126;Atribuido;;DEISI89;a21703819;1;2019-10-15 19:27:11.000;1;2019
129;Não Atribuido;;DEISI86;a21704176;3;2019-10-21 14:21:32.000;1;2019
130;Não Atribuido;;DEISI95;a21704176;4;2019-10-21 14:21:12.000;1;2019
131;Não Atribuido;;DEISI97;a21704176;1;2019-10-09 23:33:31.000;1;2019
132;Não Atribuido;;DEISI97;a21703091;1;2019-10-10 23:28:22.000;1;2019
133;Atribuido;;DEISI95;a21703091;2;2019-10-15 00:13:11.000;1;2019
134;Não Atribuido;;DEISI96;a21703091;4;2019-10-16 22:36:59.000;1;2019
146;Atribuido;;DEISI76;a20060700;1;2019-10-12 23:26:46.000;1;2019
147;Não Atribuido;;DEISI86;a20060700;2;2019-10-12 23:47:38.000;1;2019
148;Não Atribuido;;DEISI98;a20060700;3;2019-10-12 23:58:51.000;1;2019
149;;30;DEISI98;;3;2019-10-22 08:19:12.000;1;2019
150;;30;DEISI84;;4;2019-10-22 08:18:44.000;1;2019
151;;31;DEISI97;;1;2019-10-14 14:51:42.000;1;2019
152;Atribuido;;Aluno94;a21702482;1;2019-10-14 14:54:23.000;1;2019
153;;31;DEISI91;;2;2019-10-14 14:55:42.000;1;2019
154;;31;DEISI95;;5;2019-10-15 22:26:25.000;1;2019
156;Não Atribuido;;DEISI79;a21701080;2;2019-10-15 08:56:39.000;1;2019
159;Não Atribuido;;DEISI90;a21701080;4;2019-10-14 21:01:47.000;1;2019
160;Não Atribuido;;DEISI95;a21701080;3;2019-10-15 08:56:28.000;1;2019
162;Atribuido;;DEISI97;a21701080;1;2019-10-15 08:54:37.000;1;2019
163;Não Atribuido;;DEISI97;a21702270;1;2019-10-14 22:04:36.000;1;2019
169;Não Atribuido;;DEISI95;a21702270;2;2019-10-14 22:12:12.000;1;2019
170;Atribuido;;DEISI93;a21702270;3;2019-10-14 22:12:43.000;1;2019
